feature,mean_abs_shap,shap_rank,final_role
location,264.40537396305876,1,context
country,191.66626702149932,2,context
soil_P,158.80189184713876,3,context
variety,129.75664432796862,4,modifiable
soil_pH,109.33681854651266,5,context
P_fertilizer,100.5971890780457,6,modifiable
plot_area,92.69282361054597,7,context
latitude,44.45369152509764,8,context
flooded,39.968164643251214,9,modifiable
planting_date,31.270049073032784,10,context
longitude,17.66521151945422,11,context
K_fertilizer,5.073128430753288,12,modifiable
season,4.4368953899842,13,context
row_spacing,4.4327327284001035,14,modifiable
N_fertilizer,2.7175785325084516,15,modifiable
irrigated,1.1463436888968643,16,modifiable
rep,0.09990744445768643,17,context
