case_name,row_index,feature_rank,feature,feature_value,shap_value,abs_shap_value,direction
highest_pred,63,1,location,Cotonou,388.1625960136784,388.1625960136784,positive
highest_pred,63,2,soil_P,18.0,329.9280732544575,329.9280732544575,positive
highest_pred,63,3,country,Benin,231.93638974349818,231.93638974349818,positive
highest_pred,63,4,soil_pH,6.0,142.81224037840622,142.81224037840622,positive
highest_pred,63,5,flooded,1,123.27518767808263,123.27518767808263,positive
highest_pred,63,6,plot_area,1.28,100.68555676541769,100.68555676541769,positive
highest_pred,63,7,latitude,6.368,46.90367657766369,46.90367657766369,positive
highest_pred,63,8,planting_date,2012,35.425781283684884,35.425781283684884,positive
highest_pred,63,9,P_fertilizer,0,32.33239638450767,32.33239638450767,positive
highest_pred,63,10,variety,IR8,22.369138643668308,22.369138643668308,positive
lowest_pred,117,1,country,Burkina Faso,-468.8595721052459,468.8595721052459,negative
lowest_pred,117,2,location,Farako-Ba,-445.7561915034859,445.7561915034859,negative
lowest_pred,117,3,soil_P,1.39948597907651,-248.56067749502424,248.56067749502424,negative
lowest_pred,117,4,variety,PH218-5-5-7-3,-229.3599910891765,229.3599910891765,negative
lowest_pred,117,5,soil_pH,6.2,-228.29843856316913,228.29843856316913,negative
lowest_pred,117,6,P_fertilizer,0,-135.09969955572734,135.09969955572734,negative
lowest_pred,117,7,plot_area,1.4,-132.93498307096397,132.93498307096397,negative
lowest_pred,117,8,latitude,11.0,-75.64703367876717,75.64703367876717,negative
lowest_pred,117,9,planting_date,2013,-67.94857755548753,67.94857755548753,negative
lowest_pred,117,10,longitude,-4.344,-46.3088162121692,46.3088162121692,negative
largest_overpred,39,1,location,Cotonou,215.6757520900801,215.6757520900801,positive
largest_overpred,39,2,soil_P,3.25055030726496,-172.56304078419814,172.56304078419814,negative
largest_overpred,39,3,country,Benin,156.47245914996736,156.47245914996736,positive
largest_overpred,39,4,P_fertilizer,0,-142.5219139936335,142.5219139936335,negative
largest_overpred,39,5,variety,SURJAMKUHI,-134.40524331016752,134.40524331016752,negative
largest_overpred,39,6,plot_area,0.4,86.74695944765143,86.74695944765143,positive
largest_overpred,39,7,soil_pH,5.9,80.03216913037417,80.03216913037417,positive
largest_overpred,39,8,flooded,0,-60.11274581916849,60.11274581916849,negative
largest_overpred,39,9,latitude,6.368,52.07984036749101,52.07984036749101,positive
largest_overpred,39,10,planting_date,2013,-20.710593336173606,20.710593336173606,negative
largest_underpred,48,1,location,Cotonou,347.7588489578324,347.7588489578324,positive
largest_underpred,48,2,variety,KALUBALAVEE,175.43051748565648,175.43051748565648,positive
largest_underpred,48,3,soil_P,3.25055030726496,-155.6269219459581,155.6269219459581,negative
largest_underpred,48,4,country,Benin,150.73956947771688,150.73956947771688,positive
largest_underpred,48,5,plot_area,0.4,128.10441334123095,128.10441334123095,positive
largest_underpred,48,6,P_fertilizer,0,-111.12248704659397,111.12248704659397,negative
largest_underpred,48,7,soil_pH,5.9,106.23867471694395,106.23867471694395,positive
largest_underpred,48,8,latitude,6.368,55.6453590801517,55.6453590801517,positive
largest_underpred,48,9,flooded,0,-49.192088169891676,49.192088169891676,negative
largest_underpred,48,10,longitude,2.322,13.904563632121745,13.904563632121745,positive
largest_abs_error,64,1,variety,PH218-5-3-8-3,-349.6723296817736,349.6723296817736,negative
largest_abs_error,64,2,soil_P,18.0,337.78555677622717,337.78555677622717,positive
largest_abs_error,64,3,location,Cotonou,249.18124419317414,249.18124419317414,positive
largest_abs_error,64,4,country,Benin,226.57906161682854,226.57906161682854,positive
largest_abs_error,64,5,flooded,1,138.3771336728361,138.3771336728361,positive
largest_abs_error,64,6,plot_area,1.28,110.1781194531211,110.1781194531211,positive
largest_abs_error,64,7,soil_pH,6.0,109.4598139862208,109.4598139862208,positive
largest_abs_error,64,8,P_fertilizer,0,70.84017793276338,70.84017793276338,positive
largest_abs_error,64,9,planting_date,2012,36.63776584864202,36.63776584864202,positive
largest_abs_error,64,10,latitude,6.368,34.78830952240425,34.78830952240425,positive
