feature,delta_rmse_mean,delta_rmse_std,delta_r2_mean,delta_r2_std,perm_rank
variety,83.62416058221538,35.702217087756985,0.09179188976853246,0.04108866993058119,1
flooded,72.73361900575125,13.858989325701474,0.07895142617039545,0.01561622991974782,2
location,66.6175295945065,15.079195696051226,0.0721278580584888,0.016798483513449602,3
soil_P,63.285176391808534,12.910322528373523,0.06838490117583149,0.014347798708280447,4
P_fertilizer,51.06725232215737,9.446350844637749,0.05483533163382566,0.010309106251701242,5
country,46.427939039995124,21.239234126974672,0.04993387550280412,0.023222011267432608,6
plot_area,38.5791624995272,9.070128188002633,0.041183613889640105,0.009867942651787908,7
planting_date,38.427751307405,8.389713568652681,0.041012969130706095,0.00912619788928231,8
soil_pH,30.93712745592859,6.821355658705427,0.03289296539838853,0.00736299604881286,9
season,9.768589025684975,1.1932846127492955,0.010272023642563466,0.0012596101812201266,10
rep,6.616193330008514,0.02231399700547399,0.006945848375687402,2.3502571043070502e-05,11
latitude,2.097304312478869,4.9242272040396315,0.0022094642809756815,0.005160973707323754,12
irrigated,2.067244407096055,4.475063426572679,0.002175755171606994,0.004694987181717516,13
K_fertilizer,0.8127321193773298,2.135187585712648,0.0008531451025006603,0.0022361603090165242,14
longitude,0.685340204658587,2.275483501016295,0.0007200649419327049,0.0023825352562310055,15
N_fertilizer,-0.3030790662578511,2.6511202343257603,-0.00031344709448791197,0.0027679859731780405,16
row_spacing,-2.532468847017853,0.44871253096538605,-0.0026465291903836757,0.00046846097121197887,17
