feature,mean_abs_shap,shap_rank,delta_rmse_mean,delta_r2_mean,perm_rank,final_role,rank_gap_abs,consensus_top10
location,206.42885189875818,1,66.61752959450652,0.07212785805848884,3,context,2,True
country,164.89422637715143,2,46.42793903999515,0.04993387550280412,6,context,4,True
variety,135.03376944921243,3,83.62416058221532,0.09179188976853242,1,modifiable,2,True
soil_P,84.0099986980036,4,63.28517639180856,0.06838490117583151,4,context,0,True
plot_area,81.2853295980575,5,38.57916249952717,0.041183613889640064,7,context,2,True
flooded,79.25642877410048,6,72.73361900575122,0.07895142617039547,2,modifiable,4,True
P_fertilizer,71.29003066823745,7,51.06725232215737,0.05483533163382566,5,modifiable,2,True
planting_date,58.93803176158817,8,38.42775130740503,0.04101296913070608,8,context,0,True
soil_pH,53.49170185122616,9,30.93712745592859,0.03289296539838853,9,context,0,True
irrigated,49.59675304170107,10,2.067244407096041,0.00217575517160698,13,modifiable,3,False
latitude,44.31081146404607,11,2.0973043124789115,0.002209464280975723,12,context,1,False
longitude,34.7077389910889,12,0.6853402046585586,0.0007200649419326771,15,context,3,False
N_fertilizer,25.506988814911878,13,-0.3030790662578653,-0.00031344709448791197,16,modifiable,3,False
K_fertilizer,21.07100005446532,14,0.812732119377344,0.0008531451025006881,14,modifiable,0,False
season,18.273021477902,15,9.76858902568496,0.010272023642563452,10,context,5,False
row_spacing,9.789690412924719,16,-2.5324688470178103,-0.0026465291903836202,17,modifiable,1,False
rep,2.8634803396775035,17,6.6161933300085,0.0069458483756873884,11,context,6,False
