feature,shap_rank_mean,shap_rank_std,perm_rank_mean,perm_rank_std,shap_top10_rate,perm_top10_rate,mean_abs_shap_mean,delta_rmse_mean,final_role,joint_top10_rate
location,1.0,0.0,3.0,1.0,1.0,1.0,190.00587955121514,69.05291461261373,context,1.0
country,2.0,0.0,6.666666666666667,2.516611478423583,1.0,1.0,153.52935773626018,36.942411291514865,context,1.0
variety,3.0,0.0,1.0,0.0,1.0,1.0,138.70739151280435,107.26321388152228,modifiable,1.0
flooded,4.666666666666667,1.1547005383792517,3.0,1.7320508075688772,1.0,1.0,97.39999351691978,63.517795995055394,modifiable,1.0
soil_P,5.0,1.0,5.333333333333333,1.5275252316519465,1.0,1.0,88.09546629084785,50.05647080772126,context,1.0
planting_date,6.333333333333333,1.5275252316519465,6.0,0.0,1.0,1.0,81.30630106570787,38.54390217286769,context,1.0
P_fertilizer,7.0,0.0,3.6666666666666665,1.1547005383792515,1.0,1.0,72.65300400611856,56.8722104094307,modifiable,1.0
plot_area,7.333333333333333,2.081665999466133,8.666666666666666,0.5773502691896258,1.0,1.0,71.49774760172932,26.120730815775953,context,1.0
soil_pH,8.666666666666666,0.5773502691896255,7.666666666666667,0.5773502691896257,1.0,1.0,61.35882320032582,31.518578160799013,context,1.0
irrigated,10.0,0.0,13.0,2.0,1.0,0.0,53.802848684773515,5.236936412575346,modifiable,0.0
latitude,11.0,0.0,12.333333333333334,1.5275252316519468,0.0,0.0,39.49404329981103,5.278899653966761,context,0.0
longitude,12.333333333333334,0.5773502691896258,15.333333333333334,1.5275252316519468,0.0,0.0,30.583403474852688,2.843968638507912,context,0.0
N_fertilizer,12.666666666666666,0.5773502691896258,11.333333333333334,1.1547005383792515,0.0,0.3333333333333333,27.43491150315118,7.87902379546595,modifiable,0.0
K_fertilizer,14.0,0.0,14.0,1.0,0.0,0.0,24.257632495358337,3.7978870917917127,modifiable,0.0
season,15.0,0.0,12.333333333333334,4.041451884327381,0.0,0.6666666666666666,17.32292527979301,6.715887382167807,context,0.0
row_spacing,16.0,0.0,15.0,1.7320508075688772,0.0,0.0,8.591129306794137,2.1087148035793937,modifiable,0.0
rep,17.0,0.0,14.666666666666666,3.2145502536643185,0.0,0.0,2.423039715061979,2.05240789774003,context,0.0
