model,model_key,scenario,selected_param_set,trial_id,n_test,mae,rmse,r2
RandomForest,random_forest,modifiable_plus_context,1,1,15,749.3141346203836,888.6992178330519,-1.7110469598845555
RandomForest,random_forest,modifiable_plus_context,1,10,12,697.8191802385791,777.9679830652196,0.181595493144312
RandomForest,random_forest,modifiable_plus_context,1,11,13,292.33312605279224,353.0903151772364,0.40188201898829645
RandomForest,random_forest,modifiable_plus_context,1,12,12,647.3389804788227,867.1591754606553,0.20665892791304674
RandomForest,random_forest,modifiable_plus_context,1,13,12,931.2117902277269,1093.5801838107402,0.08761687290622511
RandomForest,random_forest,modifiable_plus_context,1,16,7,1027.501832494975,1235.157147924892,-0.21731332619651655
RandomForest,random_forest,modifiable_plus_context,1,17,7,342.81463580675126,388.9378417262029,-0.46663183236646044
RandomForest,random_forest,modifiable_plus_context,1,2,7,860.8062151621135,1026.9885593432791,-0.04624498707162905
RandomForest,random_forest,modifiable_plus_context,1,4,16,673.2801406882252,849.6207588450843,-0.03357007076456853
RandomForest,random_forest,modifiable_plus_context,1,5,30,668.5257004021546,825.5826191782171,0.3311557045107085
RandomForest,random_forest,modifiable_plus_context,1,6,7,170.72407542372665,200.52744214870546,0.3449758840069319
RandomForest,random_forest,modifiable_plus_context,1,8,8,513.9197171085658,618.374812714573,0.7035270626261145
RandomForest,random_forest,modifiable_plus_context,1,9,14,1624.6959756358524,1987.2695926200797,-0.16946709173937258
ExtraTrees,extra_trees,modifiable_plus_context,3,1,15,878.8637733272257,1004.4357380117129,-2.463153628646938
ExtraTrees,extra_trees,modifiable_plus_context,3,10,12,711.4483175441227,790.1190625713072,0.15583052596683344
ExtraTrees,extra_trees,modifiable_plus_context,3,11,13,292.00015829366606,352.63600721361297,0.40342018040524874
ExtraTrees,extra_trees,modifiable_plus_context,3,12,12,711.0218677886814,887.4176137061941,0.16915811924042534
ExtraTrees,extra_trees,modifiable_plus_context,3,13,12,1053.321594423738,1168.5412902070616,-0.041751433152567685
ExtraTrees,extra_trees,modifiable_plus_context,3,16,7,992.8264682799132,1282.7328174915851,-0.3128960936118066
ExtraTrees,extra_trees,modifiable_plus_context,3,17,7,333.04873708844235,377.5079502145857,-0.38169730793102685
ExtraTrees,extra_trees,modifiable_plus_context,3,2,7,856.6278036008704,1029.1434160101246,-0.050640115335658153
ExtraTrees,extra_trees,modifiable_plus_context,3,4,16,625.7292088842214,823.8410908177262,0.028200673125307274
ExtraTrees,extra_trees,modifiable_plus_context,3,5,30,656.6908449697929,811.7138323650936,0.3534385032544529
ExtraTrees,extra_trees,modifiable_plus_context,3,6,7,163.50512178783296,194.7498439377877,0.3821772474371613
ExtraTrees,extra_trees,modifiable_plus_context,3,8,8,502.8091467657394,594.9744480127908,0.7255406047250359
ExtraTrees,extra_trees,modifiable_plus_context,3,9,14,1461.2009056690138,1804.297812670221,0.03596927452329979
CatBoost,catboost,modifiable_plus_context,2,1,15,757.3430002323342,882.1345414019431,-1.671142764145162
CatBoost,catboost,modifiable_plus_context,2,10,12,491.5197409184755,632.7446567912837,0.4586208362619092
CatBoost,catboost,modifiable_plus_context,2,11,13,237.12986810113887,283.33976922805317,0.6148496301879893
CatBoost,catboost,modifiable_plus_context,2,12,12,707.0375616437741,943.8360121370937,0.06015685317616837
CatBoost,catboost,modifiable_plus_context,2,13,12,995.0494054060499,1121.8140823672388,0.039897156012047796
CatBoost,catboost,modifiable_plus_context,2,16,7,998.451236446044,1247.4291006029425,-0.24162282257919476
CatBoost,catboost,modifiable_plus_context,2,17,7,356.05940976003006,394.1241374458239,-0.5060062479797933
CatBoost,catboost,modifiable_plus_context,2,2,7,781.1490024330194,968.2140020171748,0.07008148028131511
CatBoost,catboost,modifiable_plus_context,2,4,16,692.523558205902,862.6102019918129,-0.06541516761557764
CatBoost,catboost,modifiable_plus_context,2,5,30,640.4870251312765,801.8048000976241,0.3691280057410653
CatBoost,catboost,modifiable_plus_context,2,6,7,176.3080492727822,204.34080031907968,0.3198262903717134
CatBoost,catboost,modifiable_plus_context,2,8,8,535.3085547237379,651.5924796138067,0.6708198801211281
CatBoost,catboost,modifiable_plus_context,2,9,14,1698.2010071827383,2000.4551485219354,-0.1850374300079829
XGBoost,xgboost,modifiable_plus_context,3,1,15,713.3311067708332,867.6081674524205,-1.5838940858053547
XGBoost,xgboost,modifiable_plus_context,3,10,12,659.7312943522135,752.8187829195772,0.23365300900895147
XGBoost,xgboost,modifiable_plus_context,3,11,13,310.77277500446024,384.6666136075729,0.29012115193805754
XGBoost,xgboost,modifiable_plus_context,3,12,12,649.4107938639323,885.792771518501,0.1721978403820621
XGBoost,xgboost,modifiable_plus_context,3,13,12,1007.5414501953123,1108.3349143228656,0.06283079375452005
XGBoost,xgboost,modifiable_plus_context,3,16,7,1003.5362137276786,1236.6395683628216,-0.22023708868069702
XGBoost,xgboost,modifiable_plus_context,3,17,7,308.0314174107143,374.23167591426784,-0.3578187329329803
XGBoost,xgboost,modifiable_plus_context,3,2,7,715.1046428571428,998.3453226921736,0.011301775748865484
XGBoost,xgboost,modifiable_plus_context,3,4,16,714.0348095703125,951.6129470361353,-0.29661302261001987
XGBoost,xgboost,modifiable_plus_context,3,5,30,640.7979680989582,898.2416860357092,0.2082458341364437
XGBoost,xgboost,modifiable_plus_context,3,6,7,202.80504010881694,254.87970111216748,-0.05823022039224801
XGBoost,xgboost,modifiable_plus_context,3,8,8,503.69036376953125,670.6874423783178,0.6512438920406874
XGBoost,xgboost,modifiable_plus_context,3,9,14,1602.567347935268,1910.1250679370528,-0.08043349380196396
LightGBM,lightgbm,modifiable_plus_context,2,1,15,751.2132653934189,938.3702690295844,-2.0225669069070324
LightGBM,lightgbm,modifiable_plus_context,2,10,12,773.3509676692571,844.6084322682138,0.035381937345585146
LightGBM,lightgbm,modifiable_plus_context,2,11,13,241.40651563148165,283.41919484961454,0.614633669716235
LightGBM,lightgbm,modifiable_plus_context,2,12,12,685.3417216835388,901.6003400154814,0.14238883788114343
LightGBM,lightgbm,modifiable_plus_context,2,13,12,993.1879942033893,1184.701358756313,-0.07076398239225745
LightGBM,lightgbm,modifiable_plus_context,2,16,7,1062.478387943004,1219.4132554856412,-0.18647821267201614
LightGBM,lightgbm,modifiable_plus_context,2,17,7,450.8878154547443,535.0834853570008,-1.775899902073625
LightGBM,lightgbm,modifiable_plus_context,2,2,7,893.6791275223151,1041.9909923879497,-0.0770357233928507
LightGBM,lightgbm,modifiable_plus_context,2,4,16,615.1041345562471,801.8642655407585,0.07935666231600136
LightGBM,lightgbm,modifiable_plus_context,2,5,30,659.310047490158,814.0988398688223,0.34963341968985473
LightGBM,lightgbm,modifiable_plus_context,2,6,7,178.46959651771414,239.23833508679147,0.06766668272119303
LightGBM,lightgbm,modifiable_plus_context,2,8,8,555.9896859354009,648.4507674989113,0.6739865709118915
LightGBM,lightgbm,modifiable_plus_context,2,9,14,1623.5767127688366,1861.082894995305,-0.025665779368162944
